id_city,city,lat,lon,place_id,timestamp,feels_like,humidity,rain,date,feels_like_mean,rain_mean
9,Chateau du Haut Koenigsbourg,48.24941075,7.344320233724503,110834108.0,1736247600,-1.55,72,0.10540000000000001,2025-01-07,-0.05714285714285694,4.255057142857143
9,Chateau du Haut Koenigsbourg,48.24941075,7.344320233724503,110834108.0,1736334000,-2.71,99,15.55,2025-01-08,-0.05714285714285694,4.255057142857143
9,Chateau du Haut Koenigsbourg,48.24941075,7.344320233724503,110834108.0,1736420400,4.23,85,6.32,2025-01-09,-0.05714285714285694,4.255057142857143
9,Chateau du Haut Koenigsbourg,48.24941075,7.344320233724503,110834108.0,1736506800,-1.37,77,0.0,2025-01-10,-0.05714285714285694,4.255057142857143
9,Chateau du Haut Koenigsbourg,48.24941075,7.344320233724503,110834108.0,1736593200,-0.69,76,0.0,2025-01-11,-0.05714285714285694,4.255057142857143
9,Chateau du Haut Koenigsbourg,48.24941075,7.344320233724503,110834108.0,1736679600,-4.96,93,0.0,2025-01-12,-0.05714285714285694,4.255057142857143
10,Colmar,48.0777517,7.3579641,110995390.0,1736161200,11.3,68,8.45,2025-01-06,3.545714285714286,7.036371428571429
10,Colmar,48.0777517,7.3579641,110995390.0,1736247600,2.21,69,1.7346,2025-01-07,3.545714285714286,7.036371428571429
10,Colmar,48.0777517,7.3579641,110995390.0,1736334000,-0.24,98,25.69,2025-01-08,3.545714285714286,7.036371428571429
10,Colmar,48.0777517,7.3579641,110995390.0,1736420400,9.42,81,13.38,2025-01-09,3.545714285714286,7.036371428571429
10,Colmar,48.0777517,7.3579641,110995390.0,1736506800,4.21,66,0.0,2025-01-10,3.545714285714286,7.036371428571429
10,Colmar,48.0777517,7.3579641,110995390.0,1736593200,-0.02,74,0.0,2025-01-11,3.545714285714286,7.036371428571429
10,Colmar,48.0777517,7.3579641,110995390.0,1736679600,-2.06,87,0.0,2025-01-12,3.545714285714286,7.036371428571429
11,Eguisheim,48.0447968,7.3079618,110808217.0,1736161200,11.21,67,9.21,2025-01-06,2.995714285714286,7.594285714285715
11,Eguisheim,48.0447968,7.3079618,110808217.0,1736247600,1.63,70,2.42,2025-01-07,2.995714285714286,7.594285714285715
11,Eguisheim,48.0447968,7.3079618,110808217.0,1736334000,-0.1,98,26.27,2025-01-08,2.995714285714286,7.594285714285715
